ID,Title,Category,Details,Cost_USD,Quality_Material,Quality_Durability_Rating_1to5,Warranty_Months,Sustainability_CO2_kg
1,Generic Brand Tailored Blazer — Studio (polyester),Clothing,Tailored Blazer cut in a studio silhouette. Fabric: polyester. Everyday-ready with refined construction and lasting comfort.,198.44,polyester,4,6,43.5
2,Generic Brand Relaxed Cardigan — Studio (linen),Clothing,Relaxed Cardigan cut in a studio silhouette. Fabric: linen. Everyday-ready with refined construction and lasting comfort.,48.68,linen,4,36,7.1
3,Generic Brand Classic Oxford Shirt — Urban (linen),Clothing,Classic Oxford Shirt cut in a urban silhouette. Fabric: linen. Everyday-ready with refined construction and lasting comfort.,209.84,linen,5,36,37.3
4,Generic Brand Poplin Button-Down — Urban (cashmere blend),Clothing,Poplin Button-Down cut in a urban silhouette. Fabric: cashmere blend. Everyday-ready with refined construction and lasting comfort.,239.67,cashmere blend,3,6,8.4
5,Generic Brand Pleated Midi Dress — Studio (hemp blend),Clothing,Pleated Midi Dress cut in a studio silhouette. Fabric: hemp blend. Everyday-ready with refined construction and lasting comfort.,197.39,hemp blend,4,24,32.7
6,Generic Brand Satin Slip Skirt — Premium (merino wool),Clothing,Satin Slip Skirt cut in a premium silhouette. Fabric: merino wool. Everyday-ready with refined construction and lasting comfort.,91.48,merino wool,4,36,9.2
7,Generic Brand Wide-Leg Trousers — Performance (cashmere blend),Clothing,Wide-Leg Trousers cut in a performance silhouette. Fabric: cashmere blend. Everyday-ready with refined construction and lasting comfort.,171.76,cashmere blend,5,12,21.9
8,Generic Brand Straight-Leg Jeans — Classic (polyester),Clothing,Straight-Leg Jeans cut in a classic silhouette. Fabric: polyester. Everyday-ready with refined construction and lasting comfort.,105.02,polyester,5,12,8.0
9,Generic Brand High-Rise Culottes — Classic (recycled nylon),Clothing,High-Rise Culottes cut in a classic silhouette. Fabric: recycled nylon. Everyday-ready with refined construction and lasting comfort.,105.59,recycled nylon,4,6,36.2
10,Generic Brand Linen Utility Jacket — Premium (hemp blend),Clothing,Linen Utility Jacket cut in a premium silhouette. Fabric: hemp blend. Everyday-ready with refined construction and lasting comfort.,70.98,hemp blend,4,0,15.7
11,Generic Brand Trench Coat — Bold (merino wool),Clothing,Trench Coat cut in a bold silhouette. Fabric: merino wool. Everyday-ready with refined construction and lasting comfort.,194.09,merino wool,5,24,13.5
12,Generic Brand Quilted Liner Jacket — Studio (hemp blend),Clothing,Quilted Liner Jacket cut in a studio silhouette. Fabric: hemp blend. Everyday-ready with refined construction and lasting comfort.,218.87,hemp blend,4,12,15.8
13,Generic Brand Cable-Knit Crewneck — Soft (cashmere blend),Clothing,Cable-Knit Crewneck cut in a soft silhouette. Fabric: cashmere blend. Everyday-ready with refined construction and lasting comfort.,96.4,cashmere blend,5,12,41.5
14,Generic Brand Merino V-Neck — Soft (organic cotton),Clothing,Merino V-Neck cut in a soft silhouette. Fabric: organic cotton. Everyday-ready with refined construction and lasting comfort.,35.88,organic cotton,3,18,44.6
15,Generic Brand Boxy Crop Tee — Bold (recycled nylon),Clothing,Boxy Crop Tee cut in a bold silhouette. Fabric: recycled nylon. Everyday-ready with refined construction and lasting comfort.,161.12,recycled nylon,4,12,34.4
16,Generic Brand Seamless Tank — Premium (recycled nylon),Clothing,Seamless Tank cut in a premium silhouette. Fabric: recycled nylon. Everyday-ready with refined construction and lasting comfort.,29.44,recycled nylon,5,6,28.0
17,Generic Brand Ponte Knit Pants — Urban (recycled nylon),Clothing,Ponte Knit Pants cut in a urban silhouette. Fabric: recycled nylon. Everyday-ready with refined construction and lasting comfort.,182.3,recycled nylon,5,18,43.4
18,Generic Brand Wrap Midi Skirt — Eco (modal blend),Clothing,Wrap Midi Skirt cut in a eco silhouette. Fabric: modal blend. Everyday-ready with refined construction and lasting comfort.,239.01,modal blend,5,0,43.5
19,Generic Brand Ribbed Knit Dress — Minimal (organic cotton),Clothing,Ribbed Knit Dress cut in a minimal silhouette. Fabric: organic cotton. Everyday-ready with refined construction and lasting comfort.,206.04,organic cotton,4,12,26.9
20,Generic Brand A-Line Day Dress — Classic (cashmere blend),Clothing,A-Line Day Dress cut in a classic silhouette. Fabric: cashmere blend. Everyday-ready with refined construction and lasting comfort.,224.08,cashmere blend,4,12,9.6
21,Generic Brand Smocked Blouse — Urban (recycled nylon),Clothing,Smocked Blouse cut in a urban silhouette. Fabric: recycled nylon. Everyday-ready with refined construction and lasting comfort.,41.13,recycled nylon,5,6,9.3
22,Generic Brand Peplum Top — Minimal (hemp blend),Clothing,Peplum Top cut in a minimal silhouette. Fabric: hemp blend. Everyday-ready with refined construction and lasting comfort.,230.95,hemp blend,4,0,28.5
23,Generic Brand Corduroy Skirt — Heritage (bamboo viscose),Clothing,Corduroy Skirt cut in a heritage silhouette. Fabric: bamboo viscose. Everyday-ready with refined construction and lasting comfort.,109.45,bamboo viscose,5,18,25.0
24,Generic Brand Vegan Leather Pants — Studio (recycled nylon),Clothing,Vegan Leather Pants cut in a studio silhouette. Fabric: recycled nylon. Everyday-ready with refined construction and lasting comfort.,41.64,recycled nylon,3,6,23.9
25,Generic Brand Faux-Suede Jacket — Heritage (vegan leather),Clothing,Faux-Suede Jacket cut in a heritage silhouette. Fabric: vegan leather. Everyday-ready with refined construction and lasting comfort.,201.22,vegan leather,5,0,43.8
26,Generic Brand Wool Beret — Performance (bamboo viscose),Clothing,Wool Beret cut in a performance silhouette. Fabric: bamboo viscose. Everyday-ready with refined construction and lasting comfort.,136.68,bamboo viscose,4,24,8.1
27,Generic Brand Cashmere Wrap — Eco (hemp blend),Clothing,Cashmere Wrap cut in a eco silhouette. Fabric: hemp blend. Everyday-ready with refined construction and lasting comfort.,74.69,hemp blend,3,6,18.2
28,Generic Brand Knit Scarf — Bold (polyester),Clothing,Knit Scarf cut in a bold silhouette. Fabric: polyester. Everyday-ready with refined construction and lasting comfort.,101.44,polyester,5,0,29.1
29,Generic Brand Thermal Leggings — Studio (organic cotton),Clothing,Thermal Leggings cut in a studio silhouette. Fabric: organic cotton. Everyday-ready with refined construction and lasting comfort.,66.3,organic cotton,5,24,28.5
30,Generic Brand Athletic Joggers — Eco (recycled nylon),Clothing,Athletic Joggers cut in a eco silhouette. Fabric: recycled nylon. Everyday-ready with refined construction and lasting comfort.,124.68,recycled nylon,3,24,39.4
31,Generic Brand Performance Tee — Studio (recycled nylon),Clothing,Performance Tee cut in a studio silhouette. Fabric: recycled nylon. Everyday-ready with refined construction and lasting comfort.,122.35,recycled nylon,3,0,17.5
32,Generic Brand Breathable Polo — Heritage (vegan leather),Clothing,Breathable Polo cut in a heritage silhouette. Fabric: vegan leather. Everyday-ready with refined construction and lasting comfort.,186.68,vegan leather,4,0,14.2
33,Generic Brand Waffle Henley — Studio (organic cotton),Clothing,Waffle Henley cut in a studio silhouette. Fabric: organic cotton. Everyday-ready with refined construction and lasting comfort.,30.93,organic cotton,4,24,24.4
34,Generic Brand Down Puffer Vest — Minimal (merino wool),Clothing,Down Puffer Vest cut in a minimal silhouette. Fabric: merino wool. Everyday-ready with refined construction and lasting comfort.,192.28,merino wool,3,18,38.0
35,Generic Brand Packable Parka — Studio (modal blend),Clothing,Packable Parka cut in a studio silhouette. Fabric: modal blend. Everyday-ready with refined construction and lasting comfort.,211.48,modal blend,4,0,7.2
36,Generic Brand Paperbag Trousers — Urban (organic cotton),Clothing,Paperbag Trousers cut in a urban silhouette. Fabric: organic cotton. Everyday-ready with refined construction and lasting comfort.,183.74,organic cotton,5,12,8.3
37,Generic Brand Bias-Cut Skirt — Bold (vegan leather),Clothing,Bias-Cut Skirt cut in a bold silhouette. Fabric: vegan leather. Everyday-ready with refined construction and lasting comfort.,99.67,vegan leather,4,18,27.2
38,Generic Brand Denim Shirt Dress — Classic (hemp blend),Clothing,Denim Shirt Dress cut in a classic silhouette. Fabric: hemp blend. Everyday-ready with refined construction and lasting comfort.,186.28,hemp blend,5,0,19.2
39,Generic Brand Sculpted Waistcoat — Bold (vegan leather),Clothing,Sculpted Waistcoat cut in a bold silhouette. Fabric: vegan leather. Everyday-ready with refined construction and lasting comfort.,94.15,vegan leather,5,6,19.0
40,Generic Brand Pleat-Front Chinos — Heritage (linen),Clothing,Pleat-Front Chinos cut in a heritage silhouette. Fabric: linen. Everyday-ready with refined construction and lasting comfort.,120.15,linen,3,36,15.9
41,Generic Brand Wool Midi Skirt — Urban (linen),Clothing,Wool Midi Skirt cut in a urban silhouette. Fabric: linen. Everyday-ready with refined construction and lasting comfort.,172.25,linen,3,6,24.8
42,Generic Brand Plissé Midi Dress — Studio (bamboo viscose),Clothing,Plissé Midi Dress cut in a studio silhouette. Fabric: bamboo viscose. Everyday-ready with refined construction and lasting comfort.,57.61,bamboo viscose,4,18,17.5
43,Generic Brand Bouclé Cropped Jacket — Studio (polyester),Clothing,Bouclé Cropped Jacket cut in a studio silhouette. Fabric: polyester. Everyday-ready with refined construction and lasting comfort.,192.92,polyester,3,36,29.6
